Time,Ambient (deg C)
2018-04-04 00:09:55.153874,8.5
2018-04-04 00:19:55.151565,8.5
2018-04-04 00:29:55.149256,8.3
2018-04-04 00:39:55.146946,8.5
2018-04-04 00:49:55.144637,8.3
2018-04-04 00:59:55.142328,8.5
2018-04-04 01:09:55.140019,8.3
2018-04-04 01:19:55.137709,8.3
2018-04-04 01:29:55.135400,8.3
2018-04-04 01:39:55.133091,8.3
2018-04-04 01:49:55.130781,8.3
2018-04-04 01:59:55.128472,8.3
2018-04-04 02:09:55.126163,8.1
2018-04-04 02:19:55.123853,8.1
2018-04-04 02:29:55.121544,8.1
2018-04-04 02:39:55.119235,8.1
2018-04-04 02:49:55.116926,8.1
2018-04-04 02:59:55.114616,8.1
2018-04-04 03:09:55.112307,8.1
2018-04-04 03:19:55.109998,8.1
2018-04-04 03:29:55.107688,8.1
2018-04-04 03:39:55.105379,8.1
2018-04-04 03:49:55.103070,8.0
2018-04-04 03:59:55.100760,8.0
2018-04-04 04:09:55.098451,7.9
2018-04-04 04:19:55.096142,7.9
2018-04-04 04:29:55.093833,7.9
2018-04-04 04:39:55.091523,7.8
2018-04-04 04:49:55.089214,7.8
2018-04-04 04:59:55.086905,7.9
2018-04-04 05:09:55.084595,7.8
2018-04-04 05:19:55.082286,7.8
2018-04-04 05:29:55.079977,7.8
2018-04-04 05:39:55.077667,7.8
2018-04-04 05:49:55.075358,7.6
2018-04-04 05:59:55.073049,7.6
2018-04-04 06:09:55.070740,7.6
2018-04-04 06:19:55.068430,7.6
2018-04-04 06:29:55.066121,7.6
2018-04-04 06:39:55.063812,7.6
2018-04-04 06:49:55.061502,7.6
2018-04-04 06:59:55.059193,7.6
2018-04-04 07:09:55.056884,7.6
2018-04-04 07:19:55.054574,7.6
2018-04-04 07:29:55.052265,7.6
2018-04-04 07:39:55.049956,7.8
2018-04-04 07:49:55.047647,7.8
2018-04-04 07:59:55.045337,7.8
2018-04-04 08:09:55.043028,7.8
2018-04-04 08:19:55.040719,7.9
2018-04-04 08:29:55.038409,7.9
2018-04-04 08:39:55.036100,7.9
2018-04-04 08:49:55.033791,7.9
2018-04-04 08:59:55.031481,7.9
2018-04-04 09:09:55.029172,8.0
2018-04-04 09:19:55.026863,8.0
2018-04-04 09:29:55.024554,8.0
2018-04-04 09:39:55.022244,8.1
2018-04-04 09:49:55.019935,8.1
2018-04-04 09:59:55.017626,8.1
2018-04-04 10:09:55.015316,8.1
2018-04-04 10:19:55.013007,8.1
2018-04-04 10:29:55.010698,8.1
2018-04-04 10:39:55.008388,8.3
2018-04-04 10:49:55.006079,8.3
2018-04-04 10:59:55.003770,8.3
2018-04-04 11:09:55.001461,8.3
2018-04-04 11:19:54.999151,8.3
2018-04-04 11:29:54.996842,8.3
2018-04-04 11:39:54.994533,8.5
2018-04-04 11:49:54.992223,8.5
2018-04-04 11:59:54.989914,8.5
2018-04-04 12:09:54.987605,8.5
2018-04-04 12:19:54.985295,8.5
2018-04-04 12:29:54.982986,8.5
2018-04-04 12:39:54.980677,8.6
2018-04-04 12:49:54.978368,8.6
2018-04-04 12:59:54.976058,8.6
2018-04-04 13:09:54.973749,8.6
2018-04-04 13:19:54.971440,8.6
2018-04-04 13:29:54.969130,8.6
2018-04-04 13:39:54.966821,8.6
2018-04-04 13:49:54.964512,8.6
2018-04-04 13:59:54.962202,8.6
2018-04-04 14:09:54.959893,8.6
2018-04-04 14:19:54.957584,8.6
2018-04-04 14:29:54.955275,8.6
2018-04-04 14:39:54.952965,8.6
2018-04-04 14:49:54.950656,8.8
2018-04-04 14:59:54.948347,8.6
2018-04-04 15:09:54.946037,8.6
2018-04-04 15:19:54.943728,8.6
2018-04-04 15:29:54.941419,8.6
2018-04-04 15:39:54.939109,8.6
2018-04-04 15:49:54.936800,8.6
2018-04-04 15:59:54.934491,8.6
2018-04-04 16:09:54.932182,8.6
2018-04-04 16:19:54.929872,8.6
2018-04-04 16:29:54.927563,8.6
2018-04-04 16:39:54.925254,8.6
2018-04-04 16:49:54.922944,8.6
2018-04-04 16:59:54.920635,8.6
2018-04-04 17:09:54.918326,8.6
2018-04-04 17:19:54.916016,8.6
2018-04-04 17:29:54.913707,8.6
2018-04-04 17:39:54.911398,8.6
2018-04-04 17:49:54.909089,8.6
2018-04-04 17:59:54.906779,8.6
2018-04-04 18:09:54.904470,8.6
2018-04-04 18:19:54.902161,8.6
2018-04-04 18:29:54.899851,8.8
2018-04-04 18:39:54.897542,8.8
2018-04-04 18:49:54.895233,8.8
2018-04-04 18:59:54.892923,8.6
2018-04-04 19:09:54.890614,8.6
2018-04-04 19:19:54.888305,8.8
2018-04-04 19:29:54.885995,8.6
2018-04-04 19:39:54.883686,8.6
2018-04-04 19:49:54.881377,8.6
2018-04-04 19:59:54.879068,8.6
2018-04-04 20:09:54.876758,8.6
2018-04-04 20:19:54.874449,8.6
2018-04-04 20:29:54.872140,8.6
2018-04-04 20:39:54.869830,8.6
2018-04-04 20:49:54.867521,8.6
2018-04-04 20:59:54.865212,8.6
2018-04-04 21:09:54.862902,8.6
2018-04-04 21:19:54.860593,8.6
2018-04-04 21:29:54.858284,8.6
2018-04-04 21:39:54.855975,8.6
2018-04-04 21:49:54.853665,8.5
2018-04-04 21:59:54.851356,8.5
2018-04-04 22:09:54.849047,8.5
2018-04-04 22:19:54.846737,8.3
2018-04-04 22:29:54.844428,8.3
2018-04-04 22:39:54.842119,8.3
2018-04-04 22:49:54.839809,8.3
2018-04-04 22:59:54.837500,8.3
2018-04-04 23:09:54.835191,8.1
2018-04-04 23:19:54.832882,8.1
2018-04-04 23:29:54.830572,8.1
2018-04-04 23:39:54.828263,8.1
2018-04-04 23:49:54.825954,8.1
2018-04-04 23:59:54.823644,8.1
2018-04-05 00:09:54.821335,8.1
2018-04-05 00:19:54.819026,8.0
2018-04-05 00:29:54.816716,7.9
2018-04-05 00:39:54.814407,7.9
2018-04-05 00:49:54.812098,7.9
2018-04-05 00:59:54.809789,7.9
2018-04-05 01:09:54.807479,7.9
2018-04-05 01:19:54.805170,7.8
2018-04-05 01:29:54.802861,7.8
2018-04-05 01:39:54.800551,7.8
2018-04-05 01:49:54.798242,7.8
2018-04-05 01:59:54.795933,7.8
2018-04-05 02:09:54.793623,7.8
2018-04-05 02:19:54.791314,7.6
2018-04-05 02:29:54.789005,7.6
2018-04-05 02:39:54.786696,7.6
2018-04-05 02:49:54.784386,7.6
2018-04-05 02:59:54.782077,7.6
2018-04-05 03:09:54.779768,7.6
2018-04-05 03:19:54.777458,7.6
2018-04-05 03:29:54.775149,7.6
2018-04-05 03:39:54.772840,7.6
2018-04-05 03:49:54.770530,7.6
2018-04-05 03:59:54.768221,7.6
2018-04-05 04:09:54.765912,7.6
2018-04-05 04:19:54.763603,7.6
2018-04-05 04:29:54.761293,7.8
2018-04-05 04:39:54.758984,7.8
2018-04-05 04:49:54.756675,7.8
2018-04-05 04:59:54.754365,7.8
2018-04-05 05:09:54.752056,7.8
2018-04-05 05:19:54.749747,7.8
2018-04-05 05:29:54.747437,7.9
2018-04-05 05:39:54.745128,7.9
2018-04-05 05:49:54.742819,7.9
2018-04-05 05:59:54.740510,7.9
2018-04-05 06:09:54.738200,7.9
2018-04-05 06:19:54.735891,7.9
2018-04-05 06:29:54.733582,7.9
2018-04-05 06:39:54.731272,7.9
2018-04-05 06:49:54.728963,7.9
2018-04-05 06:59:54.726654,7.9
2018-04-05 07:09:54.724344,7.9
2018-04-05 07:19:54.722035,7.9
2018-04-05 07:29:54.719726,8.0
2018-04-05 07:39:54.717417,7.9
2018-04-05 07:49:54.715107,8.0
2018-04-05 07:59:54.712798,8.0
2018-04-05 08:09:54.710489,7.9
2018-04-05 08:19:54.708179,8.0
2018-04-05 08:29:54.705870,8.0
2018-04-05 08:39:54.703561,8.0
2018-04-05 08:49:54.701251,7.9
2018-04-05 08:59:54.698942,8.0
2018-04-05 09:09:54.696633,8.0
2018-04-05 09:19:54.694324,8.0
2018-04-05 09:29:54.692014,8.0
2018-04-05 09:39:54.689705,8.0
2018-04-05 09:49:54.687396,8.0
2018-04-05 09:59:54.685086,8.0
2018-04-05 10:09:54.682777,8.0
2018-04-05 10:19:54.680468,8.0
2018-04-05 10:29:54.678158,8.0
